iso3c,type,year,epc_pp1990_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp1990_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,ecpc_pp1990_share_gtco2_nobunkers_rcbyearend,cpc_pp1990_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2015_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2015_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend,epc_pp2016_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_mer_pf2_share_gtco2_nobunkers_rcbyearend,pc_pp2016_atp_ppp_pf2_share_gtco2_nobunkers_rcbyearend
ESP,terr,2022,-0.7521481465489046,-7.3718205752708155,-5.910305838337967,-1.5642564008499464,-6.820473485523733,1.0351439642373603,-0.8739471215133516,-0.48311500566528665,1.0896219188401723,-0.677170914060742,-0.328717581914562
EST,terr,1990,0.30873262910599,0.13487833679875405,0.14886407459639195,0.21142294076829113,0.08172888786834154,NA,NA,NA,NA,NA,NA
EST,terr,1991,0.27456061466870324,0.10070632236146727,0.11469206015910517,0.17725092633100437,0.04755687343105476,NA,NA,NA,NA,NA,NA
EST,terr,1992,0.2501218034537648,0.0762675111465288,0.0902532489441667,0.15281211511606588,0.023118062216116286,NA,NA,NA,NA,NA,NA
EST,terr,1993,0.23066890921991373,0.05681461691267778,0.07080035471031568,0.13335922088221486,0.003665167982265266,NA,NA,NA,NA,NA,NA
EST,terr,1994,0.2106092342842464,0.03675494197701046,0.050740679774648356,0.11329954594654754,-0.016394506953402055,NA,NA,NA,NA,NA,NA
EST,terr,1995,0.19253477014054016,0.018680477833304204,0.0326662156309421,0.09522508180284128,-0.03446897109710831,NA,NA,NA,NA,NA,NA
EST,terr,1996,0.17347783187325624,-3.764604339797084e-4,0.01360927736365819,0.07616814353555737,-0.05352590936439222,NA,NA,NA,NA,NA,NA
EST,terr,1997,0.15478135250989902,-0.01907293979733693,-0.005087201999699031,0.05747166417220015,-0.07222238872774944,NA,NA,NA,NA,NA,NA
EST,terr,1998,0.13782827693907296,-0.036026015368162995,-0.022040277570525096,0.040518588601374084,-0.08917546429857551,NA,NA,NA,NA,NA,NA
EST,terr,1999,0.12187868951856848,-0.051975602788667474,-0.037989864991029576,0.024569001180869604,-0.10512505171907999,NA,NA,NA,NA,NA,NA
EST,terr,2000,0.10638569727437278,-0.06746859503286318,-0.05348285723522528,0.009076008936673902,-0.12061804396327569,NA,NA,NA,NA,NA,NA
EST,terr,2001,0.09049204307062625,-0.0833622492366097,-0.0693765114389718,-0.006817645267072625,-0.13651169816702222,NA,NA,NA,NA,NA,NA
EST,terr,2002,0.075110454012005,-0.09874383829523095,-0.08475810049759305,-0.022199234325693873,-0.15189328722564346,NA,NA,NA,NA,NA,NA
EST,terr,2003,0.05783430689413804,-0.11601998541309791,-0.10203424761546001,-0.03947538144356083,-0.16916943434351042,NA,NA,NA,NA,NA,NA
EST,terr,2004,0.04049423870481439,-0.13336005360242156,-0.11937431580478366,-0.056815449632884485,-0.18650950253283408,NA,NA,NA,NA,NA,NA
EST,terr,2005,0.02338498639966491,-0.15046930590757104,-0.13648356810993315,-0.07392470193803397,-0.20361875483798356,NA,NA,NA,NA,NA,NA
EST,terr,2006,0.0069281026340660135,-0.16692618967316994,-0.15294045187553204,-0.09038158570363286,-0.22007563860358245,NA,NA,NA,NA,NA,NA
EST,terr,2007,-0.013028491166234668,-0.18688278347347062,-0.17289704567583272,-0.11033817950393354,-0.24003223240388313,NA,NA,NA,NA,NA,NA
EST,terr,2008,-0.0308638424396529,-0.20471813474688885,-0.19073239694925095,-0.12817353077735177,-0.25786758367730134,NA,NA,NA,NA,NA,NA
EST,terr,2009,-0.04529138576710262,-0.21914567807433857,-0.20515994027670068,-0.1426010741048015,-0.2722951270047511,NA,NA,NA,NA,NA,NA
EST,terr,2010,-0.06428064390007443,-0.23813493620731038,-0.22414919840967248,-0.1615903322377733,-0.2912843851377229,NA,NA,NA,NA,NA,NA
EST,terr,2011,-0.08325079578748118,-0.2571050880947171,-0.24311935029707923,-0.18056048412518005,-0.3102545370251296,NA,NA,NA,NA,NA,NA
EST,terr,2012,-0.10103551270739203,-0.274889805014628,-0.2609040672169901,-0.1983452010450909,-0.3280392539450405,NA,NA,NA,NA,NA,NA
EST,terr,2013,-0.12071024193879315,-0.29456453424602913,-0.28057879644839123,-0.21801993027649202,-0.34771398317644164,NA,NA,NA,NA,NA,NA
EST,terr,2014,-0.13955222225798314,-0.31340651456521906,-0.29942077676758116,-0.236861910595682,-0.3665559634956316,NA,NA,NA,NA,NA,NA
EST,terr,2015,-0.15538773682751178,-0.32924202913474776,-0.31525629133710986,-0.25269742516521065,-0.3823914780651603,0.07050969669431949,0.023439550028762416,0.03158959539648824,NA,NA,NA
EST,terr,2016,-0.17288963931043871,-0.3467439316176747,-0.3327581938200368,-0.2701993276481376,-0.3998933805480872,0.05300779421139254,0.005937647545835464,0.014087692913561288,0.062713324208437,0.018860418567080494,0.026224500633091157
EST,terr,2017,-0.19164166034475466,-0.36549595265199064,-0.35151021485435274,-0.28895134868245353,-0.41864540158240315,0.03425577317707652,-0.012814373488480552,-0.004664328120754728,0.04396130317412098,1.0839753276447456e-4,0.007472479598775138
EST,terr,2018,-0.20953951244683772,-0.3833938047540737,-0.3694080669564358,-0.3068492007845366,-0.4365432536844862,0.016357921074993523,-0.030712225590563552,-0.02256218022283773,0.026063451072037988,-0.01778945456931852,-0.010425372503307856
EST,terr,2019,-0.22187246482082607,-0.39572675712806205,-0.38174101933042415,-0.31918215315852494,-0.44887620605847456,0.004024968701005133,-0.04304517796455194,-0.03489513259682612,0.013730498698049584,-0.030122406943306923,-0.02275832487729626
EST,terr,2020,-0.23111807030530612,-0.4049723626125421,-0.3909866248149042,-0.328427758643005,-0.4581218115429546,-0.005220636783474883,-0.05229078344903196,-0.044140738081306134,0.004484893213569582,-0.039368012427786925,-0.03200393036177626
EST,terr,2021,-0.24154557183818332,-0.4153998641454193,-0.4014141263477814,-0.3388552601758822,-0.4685493130758318,-0.01564813831635213,-0.0627182849819092,-0.05456823961418338,-0.005942608319307666,-0.04979551396066417,-0.04243143189465351
EST,terr,2022,-0.25186492194178095,-0.42571921424901693,-0.41173347645137903,-0.3491746102794798,-0.47886866317942944,-0.025967488419949683,-0.07303763508550676,-0.06488758971778094,-0.016261958422905218,-0.060114864064261725,-0.05275078199825106
ETH,terr,1990,10.534162509774252,17.583256103737725,24.034209957479852,13.996282118473925,36.11257720590372,NA,NA,NA,NA,NA,NA
ETH,terr,1991,10.531201884214065,17.580295478177536,24.031249331919664,13.993321492913738,36.109616580343534,NA,NA,NA,NA,NA,NA
ETH,terr,1992,10.528263010304894,17.577356604268367,24.028310458010495,13.990382619004567,36.10667770643436,NA,NA,NA,NA,NA,NA
ETH,terr,1993,10.52526720892855,17.574360802892024,24.02531465663415,13.987386817628224,36.10368190505802,NA,NA,NA,NA,NA,NA
ETH,terr,1994,10.523068409115933,17.572162003079402,24.02311585682153,13.985188017815606,36.1014831052454,NA,NA,NA,NA,NA,NA
ETH,terr,1995,10.52056063191689,17.569654225880363,24.02060807962249,13.982680240616563,36.09897532804636,NA,NA,NA,NA,NA,NA
ETH,terr,1996,10.51776440913195,17.56685800309542,24.017811856837547,13.979884017831623,36.09617910526142,NA,NA,NA,NA,NA,NA
ETH,terr,1997,10.514782082456316,17.563875676419787,24.014829530161915,13.97690169115599,36.093196778585785,NA,NA,NA,NA,NA,NA
ETH,terr,1998,10.511632369577477,17.560725963540946,24.011679817283074,13.97375197827715,36.09004706570695,NA,NA,NA,NA,NA,NA
ETH,terr,1999,10.508535841763008,17.55762943572648,24.008583289468607,13.970655450462681,36.08695053789248,NA,NA,NA,NA,NA,NA
ETH,terr,2000,10.505070466918559,17.55416406088203,24.005117914624158,13.967190075618232,36.083485163048024,NA,NA,NA,NA,NA,NA
ETH,terr,2001,10.500802777576263,17.549896371539734,24.000850225281862,13.962922386275936,36.07921747370573,NA,NA,NA,NA,NA,NA
ETH,terr,2002,10.496367865588649,17.545461459552122,23.99641531329425,13.958487474288322,36.074782561718116,NA,NA,NA,NA,NA,NA
ETH,terr,2003,10.491494088682611,17.540587682646084,23.991541536388212,13.953613697382284,36.06990878481208,NA,NA,NA,NA,NA,NA
ETH,terr,2004,10.486331783653053,17.535425377616527,23.986379231358654,13.948451392352727,36.06474647978252,NA,NA,NA,NA,NA,NA
ETH,terr,2005,10.48137204731894,17.53046564128241,23.98141949502454,13.943491656018614,36.05978674344841,NA,NA,NA,NA,NA,NA
ETH,terr,2006,10.4760499994973,17.525143593460772,23.9760974472029,13.938169608196974,36.05446469562677,NA,NA,NA,NA,NA,NA
ETH,terr,2007,10.470206153110507,17.519299747073976,23.970253600816104,13.93232576181018,36.048620849239974,NA,NA,NA,NA,NA,NA
ETH,terr,2008,10.463783885573058,17.51287747953653,23.96383133327866,13.925903494272731,36.04219858170253,NA,NA,NA,NA,NA,NA
ETH,terr,2009,10.457325744035696,17.50641933799917,23.957373191741297,13.91944535273537,36.03574044016516,NA,NA,NA,NA,NA,NA
ETH,terr,2010,10.450984260932216,17.50007785489569,23.951031708637817,13.91310386963189,36.02939895706169,NA,NA,NA,NA,NA,NA
ETH,terr,2011,10.443576393467305,17.492669987430777,23.943623841172904,13.905696002166978,36.021991089596774,NA,NA,NA,NA,NA,NA
ETH,terr,2012,10.43546180598073,17.484555399944202,23.93550925368633,13.897581414680403,36.0138765021102,NA,NA,NA,NA,NA,NA
ETH,terr,2013,10.425673658344264,17.474767252307736,23.925721106049863,13.887793267043937,36.00408835447374,NA,NA,NA,NA,NA,NA
ETH,terr,2014,10.413648366467488,17.462741960430957,23.913695814173085,13.875767975167161,35.992063062596955,NA,NA,NA,NA,NA,NA
ETH,terr,2015,10.400942720251441,17.450036314214913,23.90099016795704,13.863062328951115,35.979357416380914,6.896157423566927,16.72204091274185,16.135409873506497,NA,NA,NA
ETH,terr,2016,10.386507298984368,17.43560089294784,23.886554746689967,13.848626907684041,35.96492199511384,6.8817220022998535,16.707605491474776,16.120974452239423,6.40394041232441,14.799920095181639,14.253490955923244
ETH,terr,2017,10.370912269042618,17.42000586300609,23.870959716748217,13.833031877742291,35.949326965172084,6.866126972358104,16.692010461533027,16.105379422297673,6.388345382382659,14.784325065239889,14.237895925981494
ETH,terr,2018,10.354911674891135,17.404005268854604,23.854959122596732,13.817031283590808,35.933326371020605,6.850126378206619,16.67600986738154,16.089378828146188,6.3723447882311754,14.768324471088404,14.221895331830009
ETH,terr,2019,10.33822454752862,17.38731814149209,23.83827199523422,13.800344156228293,35.91663924365809,6.833439250844105,16.65932274001903,16.072691700783675,6.355657660868661,14.75163734372589,14.205208204467496
ETH,terr,2020,10.320401462866979,17.369495056830452,23.82044891057258,13.782521071566652,35.898816158996446,6.815616166182465,16.641499655357386,16.054868616122032,6.337834576207021,14.73381425906425,14.187385119805855
ETH,terr,2021,10.301468205212846,17.35056179917632,23.801515652918447,13.763587813912519,35.87988290134231,6.796682908528331,16.622566397703253,16.0359353584679,6.3189013185528875,14.714881001410117,14.168451862151722
ETH,terr,2022,10.282381065069222,17.331474659032693,23.78242851277482,13.744500673768895,35.86079576119869,6.777595768384707,16.603479257559627,16.016848218324274,6.299814178409262,14.695793861266491,14.149364722008096
